fouc,f**k off you c**t 
msv,Microsoft Vista
tyme,time
omgn,oh my goodness
wanna,want to
idc,I don't care
pitfa,Pain In The f**king a**
b'day,birthday
phucker,f**ker
idgi,I don't get it
every1,everyone
moss,member of same sex
oomf,One of my followers
imfo,in my f**king opinion
nsa,No Strings Attached
bmoc,Big Man On Campus
tif,this is fun
mmtyh,My mom thinks you're hot
nufin,nothing
gtgtwn,Got to go to work now
rsp,respawn
tifu,that is f**ked up
nss,no s**t sherlock
nst,no school today
ebitda,earnings before interest, taxes, depreciation and amortization
qed,I've made my Point
wtfo,what the f**k over
omfg,oh my f**king god
wrng,wrong
tb4u,too bad for you
4rm,from
bruz,brothers
goin,going
uhems,you hardly ever make sense
wubut,what you been up too
bruv,brother
bion,Believe it or not.
u iz a 304,you is a hoe
wochit,watch it
tiafayh,Thanks in advance for all your help
wdywd,what do you want to do?
wrgad,who really gives a d**n
blkm,Black Male
bruh,brother
boffum,Both of them
tys,Told You So
ttyad,Talk to you after Dinner
cul83r,See  you later
wtgds,way to go dumb s**t
rotflmho,rolling on the floor laughing my head off
gbtw,go back to work
wna,want to
jh,Just hanging
cu2nit,see you tonight
l4m3rz,lamers
sut,see you tomorrow
incld,include
atop,at time of posting
wiv,with
ka,Kick a**
lyaab,Love you as a brother
pmg,oh my God
rhs,right hand side
fankle,area between foot and ankle
pwd,password
ttyob,tend to your own business
ihtsm,i hate this so much
7uck,f**k
msf,male seeking female
pwn,made to look bad
msngr,messenger
wfh,Working From Home
dulm,do you like me
icgup,I can give you pleasure
newez,anyways
sdk,Software Development Kit
asaik,as soon as I know
4ever,forever
bcnul8r,be seeing you later
cig,cigarette
lyls,love you lots
cid,consider it done
shtf,s**t hits the fan
frnd,friend
bbilb,be back in a little bit
ur,your
cis,computer information science
ihysm,I hate you so much
njp,nice job partner
kuhl,cool
bigd,big deal
tcfc,Too Close For Comfort
tcfm,too cool for me
l@u,laughing at you
ruagoab,are you a girl or a boy
ua,user agreement
impo,In My Personal Opinion
y w,you're welcome
lyt,love you too
pfa,Please Find Attached
lolrotf,laughing out loud rolling on the floor
sxc,sexy
sxe,straight edge
iluvya,i love you
rtry,retry
fckin,f**king
sxi,sexy
pimha,Pain in my hairy a**
dilf,dad i'd like to f**k
ntta,nothing to talk about 
char,character
vzn,verizon
lyf,life
sxs,sex
km,kiss me
iduwym,I don't understand what you mean.
curn,calling you right now
dftc,down for the count
pezzas,parents
lyk,like
naa,not at all
pwnage,Ownage
btwn,between
imusm,I miss you so much
ihtgttbwijd,I have to go to the bathroom, wait I just did.
b/t,between
nao,Not As Often
gdiaf,go die in a fire
b/w,between
wdum,what do  you mean
suxx,sucks
lolcano,laugh out loud
2da,to the
naw,no
tptb,the powers that be
w'sup,what's up
pfm,Please forgive me
wl,will
grl,girl
b/c,because
bmay,between me and you
b/g,background
gpwm,good point well made
nmnhnlm,no money, no honey, nobody loves me
btwilu,by the way i love you
ly2,love you to
nevar,Never
evar,ever
fpos,f**king piece of s**t
sibir,sibling in room
sexii,sexy
oyfe,Open Your f**king Eyes
bstrd,b*****d
evaa,ever
nevah,never
bcoz,Because
tl,dr,Too long; didn't read
gfyd,go f**k your dad
agn,again
phlr,peace hugs love respect
noob,someone who is new
yhf,you have failed
code9,other people near by 
ijdk,I just don't know
tmw,Too much work
roxorz,rocks
ijdl,I just died laughing
gr8,great
tht,that
pebmac,Problem Exist Between monitor and chair
hella,very
gndn,Goes nowhere,does nothing
gfys,go f**k yourself
yrsaf,You Are Such A Fool 
imtaw,it may take a while
gw,good work
kmn,kill me now
gu,grow up
gt,get
2g2b4g,To good to be forgotten
hdydi,How do you do it
wd,well done
gp,good point
w/b,write back
ef-ing,f**king
gy,gay
gg,good game
gf,girlfriend
gd,good
lmbao,laughing my black a** off
gb,Go back
ga,go ahead
pbcakb,problem between chair and keyboard
hdydt,how did you do that
gank,kill
gm,good morning
gl,good luck
2trd,too tired
gj,good job
gh,good half
n8v,native
wtfuah,what the f**k you a**h**e
haxzor,hacker
outa,out of
lyao,laugh your a** off
lke,like
tyty,thank you thank you
ex-bf,Ex-Boy Friend
peanus,penis
tok2ul8r,i'll talk to you later
w2d,what to do
totp,talking on the phone
bruhh,Brother
biach,b***h
ev1,everyone
tyto,take your top off
nvrm,Nevermind
loxxen,laughing out loud
stfm,search the f**king manual
wrgaf,Who really gives a f**k?
ttth,Talk To The Hand
fwiw,for what it's worth
q4u,question for you
omginbd,Oh my God, It's no big deal
g2,go to
g1,good one
g0,go
popo,police
1daful,wonderful
wrthls,Worthless
g9,good night
g8,gate
url8,you are late
cod4,call of duty 4
cod5,call of duty 5
instagib,instant kill
tltpr,Too long to proof read.
roflmaouts,Rolling on floor laughing my f**king a** off unable to speak
lysm,love you so much
yfb,you f**king b*****d
wthrud,what the hell are you doing?
wtfiup,what the f**k is your problem
h4x,Hacks
idtkso,i don't think so
stfw,search the f**king web
h4xr,hacker
syfm,shut your f**king mouth
ps3,Play Station 3
evn,even
tfbundy,totaly f**ked but unfortunatly not dead yet
lvya,love you
eva,ever
tlk2ul8r,talk to you later
gmfao,Giggling My f**king a** Off
aeap,as early as possible
wtmtr,what's the matter
lqtms,Laughing quietly to myself
m84l,mate for life
rdy,ready
evr,ever
wby,what about you
tru,true
rihad,Rot In Hell And Die
lmip,LETS MEET IN PERSON
cfm,come f**k me
btwitiailwu,by the way i think i am in love with you
hppy,Happy
ruh,are you horny
nmw,no matter what
asarbambtaa,All submissions are reviewed by a moderator before they are added.
133t,elite
rtr,Read the Rules
l2m,listening to music
rrb,restroom break
jc,just curious
l2p,learn to play
iwuwh,i wish you were here 
wtwm,what time are we meeting?
4ward,forward
zt,zoo tycoon
folo,Follow
4tlog,for the love of god
dhly,does he like you
odg,oh dear God
cmbo,combo
idlyitw,i don't like you in that way
nmp,Not My Problem
g2bl8,going to be late
ttbc,Try to be cool
3q,thank you
tdl,Too d**n Lazy
3u,thank you
lata,later
ursh,you are so hot
fuctard,f**king retard
ttyl8r,talk to you later
peep dis,check out what I'm telling you
imvho,in my very humble opinion
ttyotp,talk to you on the phone
kafn,kill all f**king noobs
fmhb,f**k me hard b***h
wn,when
tyvvm,thank you very very much
ursg,you are so gay
sexc,sexy
sexe,sexy
iois,Indicators of Interest
sexi,Sexy
1337,elite
xoxo,hugs and kisses
upcia,unsolicited pool cue in anus
ilms,I love my self
ilml,I Love My Life
mkay,ok
w.o.w,World of Warcraft
nmjfa,nothing much, just f**king around
suxorz,sucks
4umb,For You Maybe
lez,Lesbian
suxors,sucks
l8ter,later
ctt,change the topic
o.p.,Original Poster
ibs,Internet b***h Slap 
2moz,tomorrow
boxor,box
cts,change the subject
kitfo,knock it the f**k off
hrny,horny
kutgw,Keep Up The good Work
iwtly,i want to love you
ctf,capture the flag
jlma,just leave me alone
thatz,that's
ctc,call the cell
ctm,chuckle to myself
ctn,can't talk now
ibw,I'll be waiting
dyac,d**n you auto correct
ntkb,need to know basis
ch@,chat
dygtp,did you get the picture
wywo,while you were out
wid,with
ducy,do you see why
waysttm,why are you still talking to me
tau,thinking about you
wio,without
pirlos,parent in room looking over shoulder
app,application
pnbf,Potential new boy friend
rotflmfao,rolling on the floor laughing my f**king a** off
apu,as per usual
mirl,meet in real life
pzled,puzzled
limh,laugh in my head
api,application program interface
motos,member of the opposite sex
plywm,play with me
h4x0r,hacker
pfy,pimply faced youth
cyntott,see you next time on Tech Today
gtfooh,get the f**k out of here
misc.,miscellaneous
xl,extra large
cilf,child i'd like to f**k
ilylabf,I love you like a best friend
chk,check
inef,it's not even funny
uwc,you are welcome
trnsl8,translate
pleaz,please
lthtt,laughing too hard to type
chr,character
fer,for
chu,you
gnstdltbbb,good night sleep tight don't let the bed bugs bite
aite,Alright
tl; dr,To Long; Didn't read
inet,internet
lolerz,laugh out loud
iit,is it tight
zh,Zero Hour
tisly,that is so last year
n2mhbu,not too much how about you?
cylor,check your local orhtodox rabbi
babi,baby
pker,player killer
upmo,You piss me off
*eg*,evil grin
yty,why thank you
pfo,please f**k off
pfos,parental figure over sholder
jtlyk,just to let you know
tttt,to tell the truth
ih8tu,i hate you
tbhimo,to be honest in my opinion
efct,effect
rlgf,Real Life Girl Friend
wywh,wish you were here
oj,orange juice
cuple,couple
ngaf,nobody gives a f**k
tmtoyh,Too Much Time On Your Hands
wtii,what time is it
meeh,me
ayfkm,are you f**king kidding me
pthc,preteen hardcore
tbss,too bad so sad
ttfaf,Through the Fire and Flames
ack,acknowledged
spk,speak
aufsm,are you f**king shiting me
aight,Alright
lazer,laser
pww,parents were watching
ygtbkm,you got to be kidding me
dwai,don't worry about it
otflol,on the floor laughing out loud
syrs,see ya real soon
tdf,To Die For
aydy,are you done yet
glwt,good luck with that
xmas,christmas
e.g.,example
smdvq,suck my d**k quickly
onoz,oh no
leme,let me
tay,thinking about you
asshle,a**h**e
bmttveot,best mates till the very end of time
bcnu,be seeing you
jtfo,joke the f**k out
yss,you stupid s**t
tal,thanks a lot
tcp,transmission control protocol
tai,think about it
gjial,go jump in a lake
sis,sister
warez,illegally obtained software
lamf,like a motherf**ker
grfx,graphics
dwt,don't wanna talk
afk,away from keyboard
*4u,Kiss for you
aamof,as a matter of fact
dwy,don't wet yourself
srynd2g,sorry need to go
afc,away from computer
dwb,Driving while black
iatb,I am the best
sig,Signature
sif,as if
hmwk,homework
wdywtdt,Why Do You Want To Do That?
newais,Anyways
txtyl,text you later
dwi,deal with it
81tc#,b***h
hafta,have to
gurl,girl
tomm,tommorow
frag,kill
farg,f**k
btfw,by the f**king way
hawt,hot
nph,no problem here
wnrn,why not right now
npe,nope
fitb,fill in the blank
w2f,want to f**k
anlsx,Anal Sex
npa,not paying attention
lulas,Love You Like a Sister
npc,Non-playable character
yfi,you f**king idiot
s'ok,it's okay
nkt,never knew that
gng2,going to
shmexy,sexy
evry,every
btfl,beautiful
btfo,back the f**k off
fcbk,facebook
pooter,Computer
idfk,i don't f**king know
cmiiw,correct me if I'm wrong
ot,off topic
siu,suck it up
lezbo,lesbian
u2u,up to you
wiu,What is up?
gcf,Google Click Fraud
ih8y,I hate you
wolo,we only live once
lolrof,Laughing out loud while rolling on the floor.
tfic,Tongue Firmly In Cheek
wad ^,what's up?
ru18,are you 18
xtreme,extreme
jfdi,Just f**king Do It!
idkbibt,I don't know but I've Been Told
degmt,Don't Even Give Me That
tdwdtg,The Devil Went Down To Georgia
nyp,not your problem
itb,in the butt
afg,away from game
fo shizzle,for sure
gdilf,Grandad I'd Like To f**k
fmflth,f**k My f**king Life To Hell
roflwtime,Rolling on the Floor laughing with tears in my eyes
a/m,away message
a/l,age and location
waysw,Why are you so weird
b82rez,Batteries
jgtfooh,just get the f**k out of here
gttp,get to the point
anuda,another
twyl,Talk With You Later
becuse,because
da2,Dragon Age 2
hax0red,hacked
gtty,good talking to you
nthin,nothing
imwtk,Inquiring minds want to know
itc,in that case
sked,schedule
spos,stupid peace of s**t
2nite,tonight
lf,looking for
sic,said in context
cotm,check out this myspace
sho,sure
ln,last name
lj,live journal
lk,like
lv,love
lt,long time
msmd,monkey see - monkey do
2h2h,too hot to handle
lq,Laughing Quietly
nmjdhw,nothing much just doing homework
tmrrw,tomorrow
crakalakin,happening
tss,That's so sweet
ly,love you
idtis,I don't think I should
sk8ing,Skating
yhpm,you have a private messge
mrau,message received and understood
kisa,knight in shining armor
bbvl,Be Back Very Later
wfm,Works For Me
l84skool,late for school
dah,dumb as hell
tstoac,too stupid to own a computer
nade,grenade
catwot,complete and total waste of time
diky,Do I know you
e-ok,Electronically OK
fudie,f**k you and die
ita,I Totally Agree
fbimcl,Fall Back In My Chair Laughing
diku,do i know you
wp,wrong person
fytd,f**k you to death
4ax0r,hacker
nff,not f**king fair
nfd,no f**king deal
evrytin,everything
ycliu,You could look it up
tisg,this is so gay
dwn,down
sutuct,so you think you can type
nfi,no f**king idea
nfw,no f**king way
ietf,internet engineering task force
kpc,keeping parents clueless
gfurs,go f**k yourself
nfr,not for real
bttt,been there, tried that
tisw,that is so wrong
yiwtgo,Yes, I want to go private
omgosh,Oh my gosh
lylasa,love you like a sister always
whtever,whatever
rotflmfaopmp,rolling on the floor laughing my a** off pissin my pants
bettr,better
lmffao,laughing my f**king fat a** off
hpoa,Hot Piece of a**
n/m,nevermind
lfg,Looking for group
bw3,Buffalo Wild Wings
eabod,eat a bag of dicks
hly,holy
lfm,looking for mate
lfl,let's f**k later
iydhantsdsaaa,If you don't have anything nice to say don't say anything at all
ilybtid,I Love You But Then I Don't
nm u,not much, you
hlp,help
hlo,hello
hlm,he loves me
hll,Hell
waug,Where are you going
lfp,looking for p***y
tranny,Transexual
ijpmp,I just peed my pants
n/t,no text
inb4,in before
tu,thank you
hld,hold
hlb,horny little b*****d
hla,Hot lesbian action
143,I love you
sitmf,say it to my face
juzt,just
heyy,hello
aatw,all around the world
xyzpdq,Examine Your Zipper Pretty Darn Quick
rep,to represent
cs:s,Counter-Strike: Source
wtp,where's the party
ih8u,I hate you
nmfp,not my f**king problem
yws,you want sex
gmtyt,good morning to you too
cwm,come with me
ownz,owns
lmoao,Laughing my Other a** Off
r2f,Ready To f**k
dhcp,Dynamic Host Configuration Protocol
h2gtb,have to go to the bathroom
cwd,comment when done
pbjt,peanut butter jelly time
retrotextual,One who is using out of date words and abbreviations while texting.
ktfo,knocked the f**k out
ecf,error carried forward
snm,say no more
dmaf,do me a favor
fubohic,f**k you Bend over here it comes
shup,shut up
rtffp,Read the f**king front page
doin',doing
ykwim,you know what I mean
ndit,No details in thread
hl2,Half-Life 2
grog,beer
w/e,whatever
shud,should
rtard,retard
ih2p,i'll have to pa**
2mz,tomorrow
scrt,secret
lalol,lots and lots of laughs
ltr,later
kssd,kissed
ltw,Lead The Way
taci,that's a crappy idea
pxr,punk rocker
bak,back
oicwydt,oh, i see what you did there
ilk2fku,I would like to f**k you
hhok,Ha Ha Only Kidding
frens,friends
ss4l,smoking sista for life
fyfi,For Your f**king Information
yrbk,Yearbook
bai,Bye
a/s/l/p,age/sex/location/picture
tysm,thank you so much
a/s/l/r,age, sex, location, race
ihy,i hate you
hawf,Husband and Wife forever
ianal,I am not a lawyer
5-oh,cop
blogger,web logger
bamf,bad a** mother f**ker
wtwr,well that was random
d&df,drug & disease free
iht,I heard that
h8ed,hated
sof,smile on face
pcbd,page cannot be displayed
cu46,see you for sex
iafh,I Am f**king Hot
iafi,I am from India
dttriaa,don't tell the RIAA
mah,my
h8er,hater
qfe,quoted for emphasis
yhbt,you've been trolled
g2gs,got to go sorry
g2gp,got to go pee
rcvd,received
av7x,avenged sevenfold
w.e.,whatever
ttus,talk to you soon
waycb,when are you coming back
sbcg4ap,strongbads cool game for attractive people
pots,Plain Old Telephone Service
prollz,probably
xbf,ex-boyfriend
g2gb,got to go bye
drood,druid
tbph,To be perfectly honest
nps,No Problems
g2ge,got to go eat
iotd,image of the day
wtho,want to hang out?
g2gn,got to go now
be4,before
uds,you dumb s**t
ih8,i hate
31337,elite
beezy,b***h
cyt,see you tomorrow
getcha,get you
icty,i can't tell you 
gotcha,got you
botoh,but on the other hand
aabf,as a best friend
ktnx,Okay and Thanks
cyb,cyber
cya,goodbye
sx,sex
ssob,stupid sons of b***hes
cye,Close Your Eyes
susfu,situation unchanged, still f**ked up
wlcm,welcome
dynm,do you know me
gsoh,Good Sense of Humor
dynk,do you not know
cym,check your mail
cyl,see you later
omg's,oh my god's
seg,s**t Eatin Grin
osbutctt,only sad b*****ds use this crappy text talk
yrs,years
witcha,with you
contribs,contributions
bwim,by which i mean
plzthx,please? Thanks
un2bo,you need to back off
sok,It's ok
sahm,stay at home mom
tgiwjo,Thank God It Was Just Once
wasup,What's Up
b1tch,b***h
noub,none of your business
g4u,good for you
iluaaf,i love you as a friend
ilykthnxbai,i love you k thanks bye
cmcp,call my cell phone
roflkmd,rolling on the floor laughing kicking my dog
imho,in my humble opinion
wotevs,whatever
shd,should
wdwgw,where did we go wrong
icwudt,I see what you did there
witu,with you
jtumltk,just thought you might like to know
imnl,I'm not laughing
a/s/l,age,sex,location
fukr,f**ker
scool,school
fukn,f**king
irdk,I really don't know
poscs,parents over sholder change subject
sokay,it's okay
fukk,f**k
rotflmaool,rolling on the floor laughing my a** off out loud
kute,cute
irdc,I really don't care
tfiik,the f**k if i know
tarfu,things are really f**ked up
rodger,affirmative
rotflmfaopimp,rolling on the floor laughing my f**king a** off peeing in my pants
rugta,are you going to answer
gded,grounded
n2mh,not too much here
iwhswu,I want to have sex with you
congrats,congratulations
mia,Missing In Action
soad,system of a down
mic,microphone
gratz,congratulations
^5,high five
soab,son of a btch
hr,hour
ahole,a**h**e
p-nis,penis
tnxz,thanks
sbc,sorry bout caps
hs,headshot
fxe,foxy
nevarz,never
imhe,in my humble experience
awes,awesome
miw,mom is watching
ymiaw,your mom is a w***e
omdg,oh my dear god
whf,Wanna have fun?
taunch,te amo un chingo
sol,s**t outta luck
p.o.s,parent over shoulder
sfy,speak for yourself
prblm,Problem
gcad,get cancer and die
mabby,maybe
ocgg,Oh Crap, gotta go
pyt,pretty young thing
sfs,so f**king stupid
bffeae,Best Friend For Ever And Ever
wht,What
vlog,video log
sfm,so f**king much
awk,awkward
ht,Heard Through
sfh,So f**king Hot
fo sho,for sure
iyswim,if you see what I mean
igtkya,im going to kick your a**
sfe,safe
awb,Acquaintance with benefits
jyfihp,jam your finger in her p***y
yrss,you are so sexy
b4ul,before you Leave
a'ight,alright
bezzie,best friend
ura,you are a
roflpimp,rolling on the floor laughing pissing in my pants
idfc,i don't f**king care
nsas,No Strings Attached Sex
b4ug,before you go
foyb,f**k off you b***h
y2b,Youtube
som'm,something
urw,you are weird
wtfru,what the f**k are you
wilco,will comply
urs,yours
pyfco,put your freaking clothes on
2mrw,tomorrow
brbts,be right back taking s**t
s4se,Sight For Sore Eyes
sumone,someone
dbi,Don't Beg It
dbh,don't be hating
12b,wannabe
lzer,laser
dbm,don't bother me
swsw2b,single when she wants to be
wutcha,What are you
wtfdyw,what the f**k do you want
lmaol,laughing my a** out loud
aiws,as i was saying
fuxing,f**king
dbg,don't be gay
tws2wa,That was so 2 weeks ago
bbwe,be back whenever
supposably,Supposedly
dbz,DragonBall Z
ttytt,to tell you the truth
suxxor,sucks
wtcf,what the crazy f**k
bbwb,best buddy with boobs
bbwl,be back way later
jka,just kidding around
m/b,maybe
rofflecake,rolling on the floor laughing
urtrd,you retard
wlkd,walked
2morrow,tommorrow
ayec,at your earliest convenience
sexx0rz,sex
ngl,Not Gonna Lie
hf,have fun
jas,just a second
mtrfkr,motherf**ker
tts,text to speech
sista,Sister
gb2,go back to
lemme,let me
mmiw,my mom is watching
2bh,to be honest
hwmnbn,he who must not be named
idsw,i don't see why
kmswl,killing myself with laughter
beotch,b***h
nj,Nice job
odtaa,one d**n thing after another
y/o,Years Old
aiic,as if I care
aiid,and if I did
4lyf3,for life
tbp,The Pirate Bay
r8p,rape
isianmtu,I swear I am not making this up
kyfc,keep your fingers crossed
cubi,can you believe it
scrilla,money
jw2k,just wanted to know
udwk,you don't want to know
ymrasu,Yes, My Retarded a** Signed Up
tba,to be anounced
2gether,together
oicu,oh, i see you!
im'd,instant messaged
tbd,to be decided
lu2,love you too
qq,crying eyes
roflmgo,Rolling On Floor Laughing My Guts Out
g2/-/,go to hell
sht,s**t
qt,cutie
bhwu,back home with you
gba,game boy advance
j4u,just for you
rtfm,read the f**king manual
ritjive,non virgin
lvr,lover
yua,you ugly a**
siao,school is almost over
j4l,just for laughs
tmwfi,Take my word for it
gbu,god bless you
rtfp,read the f**king post
ffcl,falling from chair laughing
bbialb,Be back in a little bit
rtfs,read the f**king summary
lsr,loser
j4g,just for grins
j4f,just for fun
wiuwu,what is up with you
ql,cool
gby,good bye
wuts,what is
wg,wicked gril
btw,by the way
nuttin,nothing
simclmao,sitting in my chair laughing my a** off
bts,be there soon
btr,better
beeoch,b***h
ttl,total
bty,back to you
iawtp,I agree with this post
arsed,bothered
btd,bored to death
noodz,nude pictures
wtfrud,What the f**k are you doing?
pmita,pound me in the a**
btb,by the by
btm,bottom
wc,who cares
ftio,fun time is over
swakaah,Sealed With A Kiss And A Hug
funee,funny
wb,welcome back
lve,Love
apod,Another Point Of Discussion
plmk,please let me know
dlf,dropping like flies
luv,love
soafb,son of a f**king b***h
dln,don't look now
plma,please leave me alone 
ymmd,You Made My Day
oomm,out of my mind
lub,laugh under breath
piccies,Pictures
yasw,you are so weird
luf,love
lug,lesbian until graduation
h8red,Hatred
flicks,pictures
luk,look
lul,love you lots
jsyk,Just so you know
utm,you tell me
kek,laughing out loud
syotbf,see you on the battlefield
hb4b,hoes before bros
wk,week
poontang,female genitalia
pmitap,pound me in the a** prison
wdytia,who do you think i am?
rol,rolling over laugihng
tat,that
jwtlyk,Just wanted to let you know
pcent,percent
p2p,peer to peer
yr,year
lvl,level
h83r,hater
whtvr,whatever
jom,just one minuite
legit,legitimate
joo,you
etp,eager to please
oobl,out of breath laughing
bstfu,b***h shut the f**k up
wtc,what the crap
admin,administrator
2o4s,too old for sex
otflmao,On the floor laughing my a** off
e4u2s,easy for you to say
roflmfao,rolling on the floor laughing my f**king a** off
whubu2,what have you been up to
pl0x,please
tla,Three Letter Acronym
eta,Estimated Time of Arrival
puter,Computer
rq,real quick
tld,told
tlk,talk
hith,how in the hell
wuza,what's up
nsfmf,not so fast my friend
pb&j,peanut butter and jelly
hthu,Hurry the hell up
roxor,rock
icup,i see you pee
wtd,what the deuce
cn,can
cm,call me
afaik,as far as I know
cb,come back
mastrb8,masturbate.
aybabtu,all your base are belong to us
cg,Congratulations
ohn,oh hell no
afaic,as far as I'm concerned
njoy,enjoy
fukin,f**king
stbx,soon to be ex
idjit,idiot
rpg,role playing game
cs,Counter-Strike
afaiu,As far as I understand
cp,child porn
doypov,depends on your point of view
cu,goodbye
ct,can't talk
s'pose,suppose
bbn,be back never
bbm,BlackBerry Messenger
bbl,be back later
bbk,be back, ok?
bbi,Baby
bbg,baby girl
2mora,tomorrow
bbe,baby
c@,cat
taw,Teachers are Watching
jit,just in time
rumf,Are you male or female
npnt,no picture, no talk
platcs,parent looking at the computer screen
mudda,mother
bbz,babes
bby,baby
ah,a** hole
bbw,be back whenever
omfgn,Oh my f**king god noob
sbs,such bull s**t
bbt,be back tomorrow
bbs,be back soon
h8te,hate
bbq,be back quick
bbp,Banned by parents
f u,f**k you
oti,on the internet
n,and
pic,picture
lgn,link goes nowhere
hdop,Help Delete Online Predators
aslrp,age, sex, location, race, picture
el!t,elite
fa-q,f**k you
wif,With
hmw,homework
lgf,little green footballs
ywapom,you want a piece of me?
wyhswm,would you have sex with me
hml,hate my life
pimfa,pain in my f**king a**
wthhyb,where the hell have you been?
m$wxp,Microsoft Windows XP
wwut,what were you thinking
kicks,sneakers
c2,come to
watz ^,What's up
fmnkml,f**k me now kiss me later
ott,over the top
hmb,hold me back
otw,on the way
wtfiuwy,what the f**k is up with you
hfsbm,holy f**king s**t batman
ycmtsu,You Can't Make This s**t Up
sydim,stick your d**k in me
uvgtbsm,you have got to be shiting me
ur2g,you are too good
ysa,You Suck a**
homey,Friend
roflastc,Rolling On Floor Laughing And Scaring The Cat
ysf,you stupid f**k
cvq,chucking very quietly
h8s,hates
h8r,hater
rbm,right behind me
ar,are
tiatwtcc,this is a trap word to catch copiers
h8u,I Hate You
gr8t,great
xtc,ecstasy
smhb,suck my hairy balls
phail,fail
nawidt,never again will i do that
dontcha,don't you
newayz,anyways
jftr,just for the record
ncaa,National Collegiate Athletic Association
avy,Avatar
sbd,silent but deadly
ph#,phone number
lusm,love you so much
afkb,away from keyboard
k3wl,cool
pewp,poop
wkd,wicked
vn,very nice
suagooml,shut up and get out of my life
bbiaw,be back in a while
tfft,thank f**k for that
pdq,pretty d**n quick
bcurl8,Because you're late.
smofo,stupid mother f**ker
mayte,mate
tgsttttptct,thank God someone took the time to put this crap together
jfc,Jesus f**king Christ
fubah,f**ked up beyond all hope
lzr,loser
nookie,sex
twfaf,thats what friends are for
fkn,f**king
geto,ghetto
brfb,be right f**king back
fka,formerly known as
wlos,wife looking over Shoulder
fkd,f**ked
lasb,Lame a** Stupid b***h
s2r,send to receive
myfb,mind your f**king business
ilu,I love you
gui,graphical user interface
noe,know
fubar,f**ked up beyond all recognition
frnds,friends
fku,f**k you
isfly,i so f**king love you
gewd,good
watevs,whatever
kyfag,kiss your f**king a** goodbye
http,hyper text transfer protocol
jooce,Juice
amiic,ask me if i care
wan2tlk,Want to talk
iow,in other words
gudd,good
iou,i owe you
nywy,anyway
igu,i give up
ttyrs,talk to you really soon
fucken,f**king
thku,thank you
balz,balls
fmth,f**k me to hell
oaoa,over and over again
phq,f**k you
tisnf,that is so not fair
dyw2gwm,do you want to go with me
j2bs,just to be sure
wthau,who the hell are you
dat,that
welc,welcome
wys,wow you're stupid
wyp,what's your problem?
i,I love you
phat,pretty hot and tasty
ofn,Old f**king News
srsly,seriously
gamez,illegally obtained games
wugowm,will you go out with me
ltnsoh,Long time, no see or hear
wtmfh,what the mother f**king hell
wyc,will you come
y!a,yahoo answers
tlk2me,talk to me
phag,f**
wyn,What's your name
sqtm,snickering quietly to myself
jflts,just felt like typing something
ibtl,In Before The Lock
mfa,mother f**king a**h**e
mfb,mother f**king b***h
s2us,Speak to you soon
btsoom,Beats The s**t Out Of Me
daii,day
s2a,sent to all
slgb,Straight/Lesbian/Gay/Bisexual
damhikijk,Don't Ask Me How I Know - I Just Know
mfr,motherf**ker
wht^,what up
stfuda,Shut the f**k up dumb a**
sumtin,something
mfw,my face when
doncha,Don't you
wogs,waste of good sperm
lu4l,love you for life
olpc,One Laptop Per Child
nifoc,naked in front of computer
igg,i gotta go
weg,wicked evil grin
nr4u,not right for you
detai,don't even think about it
hmus,Hit me up sometime
gma,grandma
ghey,gay
idunno,i do not know
tlkin,talking
cbfa,can't be f**king arsed
i c,i see
hi2u,hello
iiw2,is it web 2.0?
hmul,Hit me up later
foobar,f**ked up beyond all recognition
adn,any day now
skl,School
adl,all day long
ghei,Gay
gmv,Got my vote
ijit,idiot
oar,on a roll
fyb,f**k you b***h
2ez,too easy
lhao,laughing her a** off
2bad4u2,too bad for you too 
fyf,f**k your face
nvr,never
btdt,been there done that
fye,For Your Entertainment
ihmp,i hate my parents
fyk,for your knowledge
fyi,for your information
aytf,are you there f**ker
fyl,For your Love
ayte,alright
lm4aq,Let's meet for a quickie.
nedn,any day now
fyp,fixed your post
ayty,are you there yet
ihml,I hate my life
imed,instant messaged
lysfm,love you so f**king much
twat,vagina
nfc,no f**king clue
nvm,never mind
rofl,rolling on the floor laughing
tfa,the f**king article
uyab,up your a** b***h
mho,My Humble Opinion
mhm,Yes
sowwy,sorry
wu,what's up?
mhh,my head hurts
ttutt,to tell you the truth
oftpc,off topic
sk8,skate
rotw,rest of the world
yor,your
qltm,quietly laughing to myself
stupd,stupid
4yeo,For Your Eyes Only
htfu,Hurry the f**k up
siggy,Signature
sofs,same old f**king s**t
rotg,rolling on the ground
rotf,rolling on the floor
aiamu,and I'm a monkey's uncle
jlt,just like that
2qt,too cute
ilymtylm,i love you more than you love me
l8,late
vleo,Very Low Earth Orbit
wgas,who gives a s**t
ysitm,your shirt is too small
rotflol,rolling on the floor laughing out loud
wdus,What Did You Say
homo,homosexual
istwfn,I stole this word from noslang.com
hait,hate
j00,you
wthswm,want to have sex with me
s.w.a.k.,sealed with a kiss
lmfpo,laughing my f**king p***y off
tbpfh,To be perfectly f**king honest
tmr,tomorrow
tms,that makes sense
dqydj,don't quit your day job
st8,state
woum,what's on your mind
tmz,tomorrow
wdyw,what do you want
urssb,you are so sexy baby
tma,take my advice
yooh,you
nft,no further text
esc,escape
bewbz,boobs
l2,learn to
esl,eat s**t loser
tml,tell me later
tk,team kill
